"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","3","TC-REGISTR-003: Continue with Apple starts OAuth","ui","2026-06-11","failed","2026-06-11","Sign Up","../auth/sign-up.spec.ts","",""
"","3","TC-FAQ-003: deep-link #slug opens the targeted item","ui","2026-06-11","failed","2026-06-11","FAQ","../ui/faq.spec.ts","",""
"","4","TC-PLAYER-006: Geo Blocked — NotAvailableOverlay for geo-restricted event","ui","2026-06-11","failed","2026-06-11","Video Player","../ui/player.spec.ts","",""
"","4","TC-PLAYER-001: Live Event Playback — LIVE badge + no-rewind indicator","ui","2026-06-11","failed","2026-06-11","Video Player","../ui/player.spec.ts","",""
"","23632","Pagination — test event id never appears in any regular page","api","2026-06-11","passed","2026-06-11","Test events visibility (API)","../api/test-events-visibility.spec.ts","",""
"","9","Parallel: two tabs, one context (shared session cookie), Visa + Mastercard","ui","2026-06-11","failed","2026-06-11","Subscription duplicate reproduction (user flows)","../ui/subscription-duplicate-repro.spec.ts","",""
"","4","TC-PLAYER-004: Controls visible on hover, hide after timeout","ui","2026-06-11","failed","2026-06-11","Video Player","../ui/player.spec.ts","",""
"","4","TC-EVENT-HL-003: Highlight filter/search within event (if UI exposes it)","ui","2026-06-11","failed","2026-06-11","Event Highlights","../ui/event-highlights.spec.ts","",""
"","3","TC-FAQ-001: /faq loads, first item open by default","ui","2026-06-11","failed","2026-06-11","FAQ","../ui/faq.spec.ts","",""
"","0","Event detail — regular: test event URL shows 404 page","ui","2026-06-11","skipped","2026-06-11","Test events visibility (UI)","../ui/test-events-visibility.spec.ts","",""
"","218","GET /platform/events/:id/stream — admin 200 + JSON body; regular 404 for test event","api","2026-06-11","passed","2026-06-11","Test events visibility (API)","../api/test-events-visibility.spec.ts","",""
"","3","TC-FOOTER-001: footer nav + Watch/Support links + legal bar","ui","2026-06-11","failed","2026-06-11","Footer (design system)","../ui/footer.spec.ts","",""
"","0","Event detail — admin: banner, robots meta, player shell","ui","2026-06-11","skipped","2026-06-11","Test events visibility (UI)","../ui/test-events-visibility.spec.ts","",""
"","1","add new payment method (TC-SUBSCRIPTION-005)","ui","2026-06-11","skipped","2026-06-11","Subscription lifecycle & duplicate-checkout guard","../ui/subscription-lifecycle.spec.ts","",""
"","18863","annual test price: renewal after ~1 day interval","api","2026-06-11","passed","2026-06-11","Renewal via Stripe Test Clock","../api/subscription-renewal-stripe.spec.ts","",""
"","6","Parallel: two contexts, Visa + Mastercard, simultaneous Complete (race)","ui","2026-06-11","failed","2026-06-11","Subscription duplicate reproduction (user flows)","../ui/subscription-duplicate-repro.spec.ts","",""
"","0","cannot start second checkout while subscription is active (redirect)","ui","2026-06-11","skipped","2026-06-11","Subscription lifecycle & duplicate-checkout guard","../ui/subscription-lifecycle.spec.ts","",""
"","10","subscribe monthly with test card","ui","2026-06-11","failed","2026-06-11","Subscription lifecycle & duplicate-checkout guard","../ui/subscription-lifecycle.spec.ts","",""
"","408","regular user does not see test events in the list","api","2026-06-11","passed","2026-06-11","GET /platform/events","../api/events.spec.ts","",""
"","137","POST /search — anonymous response must not include test events","api","2026-06-11","passed","2026-06-11","Test events visibility (API)","../api/test-events-visibility.spec.ts","",""
"","8","TC-SEARCH-003: removed /search-v2 route returns 404","ui","2026-06-11","failed","2026-06-11","Search & navigation redesign","../ui/search.spec.ts","",""
"","3","TC-CONTACT-001: submit a request → ""Message sent""","ui","2026-06-11","failed","2026-06-11","Contact Support","../ui/contact.spec.ts","",""
"","16","TC-PLAYER-007: Stream Load Error — non-existent eventId shows 404 page","ui","2026-06-11","failed","2026-06-11","Video Player","../ui/player.spec.ts","",""
"","28332","monthly price: second paid invoice after clock advance","api","2026-06-11","passed","2026-06-11","Renewal via Stripe Test Clock","../api/subscription-renewal-stripe.spec.ts","",""
"","6","TC-LEGAL-001: Terms of Use page opens with content","ui","2026-06-11","failed","2026-06-11","Legalese","../ui/legalese.spec.ts","",""
"","3","TC-VOD-008: filter by a date-range preset","ui","2026-06-11","failed","2026-06-11","VOD / Search","../ui/vod.spec.ts","",""
"","4","redirects to profile, fill name, then subscribe (TC-SUBSCRIPTION-006)","ui","2026-06-11","failed","2026-06-11","Subscription without personal info","../ui/subscription-noname.spec.ts","",""
"","5","TC-NAV-001: primary nav routes between Home, Demand and Schedule","ui","2026-06-11","failed","2026-06-11","Search & navigation redesign","../ui/search.spec.ts","",""
"","5","generic decline card","ui","2026-06-11","failed","2026-06-11","Declined / insufficient funds","../ui/subscription-decline.spec.ts","",""
"","0","cancel at period end (UI)","ui","2026-06-11","skipped","2026-06-11","Subscription lifecycle & duplicate-checkout guard","../ui/subscription-lifecycle.spec.ts","",""
"","3","TC-VOD-001: typing in the search bar returns results (or empty state)","ui","2026-06-11","failed","2026-06-11","VOD / Search","../ui/vod.spec.ts","",""
"","399","POST format-name → non-admin is forbidden","api","2026-06-11","passed","2026-06-11","Admin — AI event-name formatter","../api/admin-event-name-formatter.spec.ts","",""
"","5","3DS stall: 3DS Required OK — 4000000000003220 (Stripe testing doc), Visa in tab B","ui","2026-06-11","failed","2026-06-11","Subscription duplicate reproduction (user flows)","../ui/subscription-duplicate-repro.spec.ts","",""
"","0","reactivate subscription after cancel (TC-SUBSCRIPTION-004)","ui","2026-06-11","skipped","2026-06-11","Subscription lifecycle & duplicate-checkout guard","../ui/subscription-lifecycle.spec.ts","",""
"","4","TC-HOME-BAN-002: link banner ""Learn more"" opens the URL in a new tab","ui","2026-06-11","failed","2026-06-11","Home Screen Banners","../ui/home-banners.spec.ts","",""
"","4","subscribe with coupon MARIA2025 — 10% discount applied (TC-SUBSCRIPTION-002)","ui","2026-06-11","failed","2026-06-11","Subscription with coupon","../ui/subscription-coupon.spec.ts","",""
"","4","TC-HOME-002: open a sport page from the home sports section","ui","2026-06-11","failed","2026-06-11","Home screen","../ui/home.spec.ts","",""
"","4","TC-ACCOUNT-003: forgot password from account page","ui","2026-06-11","failed","2026-06-11","User Account","../ui/account.spec.ts","",""
"","348","Admin user detail: E2E wallet user has ≤ 1 active subscription","api","2026-06-11","failed","2026-06-11","Subscription duplicates — API invariants","../api/subscription-duplicate-invariants.spec.ts","",""
"","368","E2E_USER_EMAIL (wallet): at most one active after /login","api","2026-06-11","failed","2026-06-11","Subscription duplicates — API invariants","../api/subscription-duplicate-invariants.spec.ts","",""
"","194","non-admin and unauthenticated are blocked","api","2026-06-11","passed","2026-06-11","Admin — library images CRUD","../api/admin-library-images.spec.ts","",""
"","4","TC-OIA-002: mobile visitor — banner shows; Continue dismisses + cooldown","ui","2026-06-11","failed","2026-06-11","Open-in-app modal","../ui/open-in-app.spec.ts","",""
"","2799","POST format-name → { formattedName, originalName } (admin)","api","2026-06-11","passed","2026-06-11","Admin — AI event-name formatter","../api/admin-event-name-formatter.spec.ts","",""
"","7","TC-HOME-BAN-003: hero renders and advances","ui","2026-06-11","failed","2026-06-11","Home Screen Banners","../ui/home-banners.spec.ts","",""
"","6","insufficient funds card shows failure UX","ui","2026-06-11","failed","2026-06-11","Declined / insufficient funds","../ui/subscription-decline.spec.ts","",""
"","3","TC-EVENT-HL-001: Search → event card → Jump To Highlight → click moment","ui","2026-06-11","failed","2026-06-11","Event Highlights","../ui/event-highlights.spec.ts","",""
"","670","GET /events/public/* — regular user never sees test event in any feed","api","2026-06-11","passed","2026-06-11","Test events visibility (API)","../api/test-events-visibility.spec.ts","",""
"","3","TC-CONTACT-003: submit disabled until email + category + issue set","ui","2026-06-11","failed","2026-06-11","Contact Support","../ui/contact.spec.ts","",""
"","6","TC-SEARCH-002: typing a query reveals Clear, clearing empties the box","ui","2026-06-11","failed","2026-06-11","Search & navigation redesign","../ui/search.spec.ts","",""
"","4","TC-HOME-001: all home screen sections","ui","2026-06-11","failed","2026-06-11","Home screen","../ui/home.spec.ts","",""
"","9","TC-OIA-001: desktop visitor — banner stays hidden","ui","2026-06-11","failed","2026-06-11","Open-in-app modal","../ui/open-in-app.spec.ts","",""
"","7","TC-PLAYER-002: VOD Playback — progress bar + seek works","ui","2026-06-11","failed","2026-06-11","Video Player","../ui/player.spec.ts","",""
"","0","TC-AUTH-003: forgot password sends reset and shows inbox confirmation","ui","2026-06-11","skipped","2026-06-11","Sign In","../auth/sign-in.spec.ts","",""
"","3","TC-ACCOUNT-004: timezone change persists and saves successfully","ui","2026-06-11","failed","2026-06-11","User Account","../ui/account.spec.ts","",""
"","103","Security: unauthenticated GET /platform/events/:id for test event → 404","api","2026-06-11","passed","2026-06-11","Test events visibility (API)","../api/test-events-visibility.spec.ts","",""
"","251","GET /me exposes a boolean clipCutterAccess (admin)","api","2026-06-11","passed","2026-06-11","Me DTO — clipCutterAccess","../api/me-clip-cutter.spec.ts","",""
"","381","REGULAR_TOKEN: at most one active subscription row","api","2026-06-11","failed","2026-06-11","Subscription duplicates — API invariants","../api/subscription-duplicate-invariants.spec.ts","",""
"","4","TC-HOME-004: navigate to VOD from ""See More"" on Home","ui","2026-06-11","failed","2026-06-11","Home screen","../ui/home.spec.ts","",""
"","237","GET /platform/events — admin sees test events in the list","api","2026-06-11","passed","2026-06-11","Test events visibility (API)","../api/test-events-visibility.spec.ts","",""
"","4","TC-VOD-005: sort Newest ↔ Oldest","ui","2026-06-11","failed","2026-06-11","VOD / Search","../ui/vod.spec.ts","",""
"","93","GET /me without auth → 401","api","2026-06-11","passed","2026-06-11","Me DTO — clipCutterAccess","../api/me-clip-cutter.spec.ts","",""
"","340","GET /platform/events/:id — admin 200 for test event; regular 404; regular 200 for prod","api","2026-06-11","passed","2026-06-11","Test events visibility (API)","../api/test-events-visibility.spec.ts","",""
"","0","Direct access — /event/:testId and /stream/:testId as regular → 404","ui","2026-06-11","skipped","2026-06-11","Test events visibility (UI)","../ui/test-events-visibility.spec.ts","",""
"","0","TC-AUTH-002: invalid credentials show toast and stay on login","ui","2026-06-11","skipped","2026-06-11","Sign In","../auth/sign-in.spec.ts","",""
"","4","TC-SCHEDULE-001: /schedule loads with Schedule nav marked current","ui","2026-06-11","failed","2026-06-11","Search & navigation redesign","../ui/search.spec.ts","",""
"","3","TC-AUTH-001: successful login lands on home","ui","2026-06-11","failed","2026-06-11","Sign In","../auth/sign-in.spec.ts","",""
"","6","TC-VOD-003: infinite scroll loads more (or stays when no more pages)","ui","2026-06-11","failed","2026-06-11","VOD / Search","../ui/vod.spec.ts","",""
"","548","GET /events/public/* — admin sees test event in at least one feed (union of buckets)","api","2026-06-11","passed","2026-06-11","Test events visibility (API)","../api/test-events-visibility.spec.ts","",""
"","107","GET /global-search?q= — results must not include the test event","api","2026-06-11","passed","2026-06-11","Test events visibility (API)","../api/test-events-visibility.spec.ts","",""
"","8","TC-VOD-004: opening an event runs the access check","ui","2026-06-11","failed","2026-06-11","VOD / Search","../ui/vod.spec.ts","",""
"","8","TC-VOD-006: sort Name A–Z ↔ Z–A","ui","2026-06-11","failed","2026-06-11","VOD / Search","../ui/vod.spec.ts","",""
"","4","TC-HOME-BAN-001: event banner CTA routes per auth state","ui","2026-06-11","failed","2026-06-11","Home Screen Banners","../ui/home-banners.spec.ts","",""
"","9329","GET /platform/events — regular user list excludes all test events","api","2026-06-11","passed","2026-06-11","Test events visibility (API)","../api/test-events-visibility.spec.ts","",""
"","4","3DS stall: always-authenticate (4000002760003184), Visa in tab B","ui","2026-06-11","failed","2026-06-11","Subscription duplicate reproduction (user flows)","../ui/subscription-duplicate-repro.spec.ts","",""
"","8661","Security: no Authorization — lists must not include test events","api","2026-06-11","passed","2026-06-11","Test events visibility (API)","../api/test-events-visibility.spec.ts","",""
"","286","Search via GET /platform/events?search= — admin finds test event; regular does not","api","2026-06-11","passed","2026-06-11","Test events visibility (API)","../api/test-events-visibility.spec.ts","",""
"","4","TC-VOD-002: selecting a sport facet filters the list live","ui","2026-06-11","failed","2026-06-11","VOD / Search","../ui/vod.spec.ts","",""
"","254","Filters LIVE / UPCOMING — regular views never include the test event id","api","2026-06-11","passed","2026-06-11","Test events visibility (API)","../api/test-events-visibility.spec.ts","",""
"","3","TC-EVENT-HL-002: Direct URL → event page → Jump To Highlight → click moment","ui","2026-06-11","failed","2026-06-11","Event Highlights","../ui/event-highlights.spec.ts","",""
"","4","TC-REGISTR-002: Continue with Google starts OAuth","ui","2026-06-11","failed","2026-06-11","Sign Up","../auth/sign-up.spec.ts","",""
"","8","TC-PLAYER-003: Play/Pause — controls toggle correctly","ui","2026-06-11","failed","2026-06-11","Video Player","../ui/player.spec.ts","",""
"","4","TC-FAQ-002: a collapsed item expands and collapses on click","ui","2026-06-11","failed","2026-06-11","FAQ","../ui/faq.spec.ts","",""
"","97","POST format-name → unauthenticated 401","api","2026-06-11","passed","2026-06-11","Admin — AI event-name formatter","../api/admin-event-name-formatter.spec.ts","",""
"","244","POST /search and GET /global-search — admin Bearer still does not return test events","api","2026-06-11","passed","2026-06-11","Test events visibility (API)","../api/test-events-visibility.spec.ts","",""
"","0","TC-AUTH-004: logout clears token and leaves guest header","ui","2026-06-11","skipped","2026-06-11","Sign In","../auth/sign-in.spec.ts","",""
"","5","TC-PLAYER-005: Premium Required — subscription overlay OR player (depending on user plan)","ui","2026-06-11","failed","2026-06-11","Video Player","../ui/player.spec.ts","",""
"","962","admin sees test events in the list","api","2026-06-11","passed","2026-06-11","GET /platform/events","../api/events.spec.ts","",""
"","512","create → list → patch → delete (admin)","api","2026-06-11","passed","2026-06-11","Admin — library images CRUD","../api/admin-library-images.spec.ts","",""
"","4","Home — admin sees the test event card (highlighted); regular does not","ui","2026-06-11","failed","2026-06-11","Test events visibility (UI)","../ui/test-events-visibility.spec.ts","",""
"","8","TC-LEGAL-002: Privacy Policy section reachable via hash","ui","2026-06-11","failed","2026-06-11","Legalese","../ui/legalese.spec.ts","",""
"","112","Security: regular + test event id → 404 (not 403)","api","2026-06-11","passed","2026-06-11","Test events visibility (API)","../api/test-events-visibility.spec.ts","",""
"","4","TC-CONTACT-002: submit with observation → ""Message sent""","ui","2026-06-11","failed","2026-06-11","Contact Support","../ui/contact.spec.ts","",""
"","227","GET /platform/events/:id/moments — admin returns 200; regular has no moments (empty) or 404","api","2026-06-11","passed","2026-06-11","Test events visibility (API)","../api/test-events-visibility.spec.ts","",""
"","3","TC-ACCOUNT-001: update first/last name → success toast","ui","2026-06-11","failed","2026-06-11","User Account","../ui/account.spec.ts","",""
"","5","TC-SEARCH-001: /search renders the On Demand hero + search box","ui","2026-06-11","failed","2026-06-11","Search & navigation redesign","../ui/search.spec.ts","",""
"","120","GET /me exposes a boolean clipCutterAccess (regular)","api","2026-06-11","passed","2026-06-11","Me DTO — clipCutterAccess","../api/me-clip-cutter.spec.ts","",""
"","3","TC-ACCOUNT-002: change password → success toast","ui","2026-06-11","failed","2026-06-11","User Account","../ui/account.spec.ts","",""
"","3","TC-REGISTR-001: sign up, verify OTP, skip preferences → home","ui","2026-06-11","failed","2026-06-11","Sign Up","../auth/sign-up.spec.ts","",""
"","4","TC-HOME-003: navigate to Event Video Player from event card","ui","2026-06-11","failed","2026-06-11","Home screen","../ui/home.spec.ts","",""
"","5","TC-VOD-007: sort By sport","ui","2026-06-11","failed","2026-06-11","VOD / Search","../ui/vod.spec.ts","",""
"","6","Sequential: Visa success then second /s/start is blocked (expect 1 active)","ui","2026-06-11","failed","2026-06-11","Subscription duplicate reproduction (user flows)","../ui/subscription-duplicate-repro.spec.ts","",""
"","3","payment step: card flow + optional Payment Request UI","ui","2026-06-11","failed","2026-06-11","Wallet / Payment Request checkout","../ui/subscription-wallet.spec.ts","",""
