"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","4517","TC-FAQ-001: /faq loads, first item open by default","ui","2026-06-26","passed","2026-06-26","FAQ","../ui/faq.spec.ts","",""
"","4332","TC-SEARCH-001: /search renders the On Demand hero + search box","ui","2026-06-26","passed","2026-06-26","Search & navigation redesign","../ui/search.spec.ts","",""
"","7791","TC-NAV-001: primary nav routes between Home, Demand and Schedule","ui","2026-06-26","passed","2026-06-26","Search & navigation redesign","../ui/search.spec.ts","",""
"","79","GET /me exposes a boolean clipCutterAccess (regular)","api","2026-06-26","passed","2026-06-26","Me DTO — clipCutterAccess","../api/me-clip-cutter.spec.ts","",""
"","2483","TC-SCHEDULE-001: /schedule loads with Schedule nav marked current","ui","2026-06-26","passed","2026-06-26","Search & navigation redesign","../ui/search.spec.ts","",""
"","77956","TC-HOME-001: all home screen sections","ui","2026-06-26","passed","2026-06-26","Home screen","../ui/home.spec.ts","",""
"","679","admin sees test events in the list","api","2026-06-26","passed","2026-06-26","GET /platform/events","../api/events.spec.ts","",""
"","3410","TC-LEGAL-001: Terms of Use page opens with content","ui","2026-06-26","passed","2026-06-26","Legalese","../ui/legalese.spec.ts","",""
"","617","regular user does not see test events in the list","api","2026-06-26","passed","2026-06-26","GET /platform/events","../api/events.spec.ts","",""
"","86","GET /me exposes a boolean clipCutterAccess (admin)","api","2026-06-26","passed","2026-06-26","Me DTO — clipCutterAccess","../api/me-clip-cutter.spec.ts","",""
"","6233","TC-AUTH-001: successful login lands on home","ui","2026-06-26","passed","2026-06-26","Sign In","../auth/sign-in.spec.ts","",""
"","4685","TC-OIA-001: desktop visitor — banner stays hidden","ui","2026-06-26","passed","2026-06-26","Open-in-app modal","../ui/open-in-app.spec.ts","",""
"","53","GET /me without auth → 401","api","2026-06-26","passed","2026-06-26","Me DTO — clipCutterAccess","../api/me-clip-cutter.spec.ts","",""
"","3871","TC-FOOTER-001: footer nav + Watch/Support links + legal bar","ui","2026-06-26","passed","2026-06-26","Footer (design system)","../ui/footer.spec.ts","",""
